"MvMf" "pEvM" "MfvpE" "MvF" "AvS"
"scaffold_1_2239515_2239634_-" -1 1 0 -1 0
"scaffold_1_2252711_2252936_-" 0 0 0 0 0
"scaffold_1_2256473_2256588_-" 0 0 0 0 0
"scaffold_1_2278089_2278210_-" 0 0 0 0 0
"scaffold_1_2319918_2320005_-" -1 1 0 -1 0
"scaffold_1_2322262_2322358_-" 0 0 0 0 0
"scaffold_1_2327535_2327795_-" 0 -1 1 0 0
"scaffold_1_2331957_2332070_-" 0 0 0 0 0
"scaffold_1_2345567_2345708_-" 0 0 0 0 0
"scaffold_1_2353179_2353503_-" 1 0 -1 0 0
"scaffold_1_2359390_2359438_-" -1 1 -1 -1 0
"scaffold_1_2369312_2369373_-" 0 0 0 0 0
"scaffold_1_2405409_2405486_-" 1 -1 0 1 0
"scaffold_1_2410885_2411044_-" 0 0 0 0 0
"scaffold_1_2415008_2415082_-" -1 0 1 0 0
"scaffold_1_2415441_2415602_-" -1 0 1 -1 0
"scaffold_1_2443397_2443466_-" 0 0 0 0 0
"scaffold_1_2463931_2464169_-" 0 0 0 0 0
"scaffold_1_2464249_2464336_-" 0 0 0 0 0
"scaffold_1_2464458_2464611_-" 0 0 0 0 0
"scaffold_1_2464804_2465138_-" 0 0 0 0 0
"scaffold_1_2465630_2465856_-" 0 0 0 0 0
"scaffold_1_2466596_2466693_-" 0 0 0 0 0
"scaffold_1_2475840_2475901_-" 1 -1 0 1 0
"scaffold_1_2476924_2477029_-" 0 0 0 0 0
"scaffold_1_2505912_2505960_-" 1 -1 0 1 0
"scaffold_1_2541424_2541561_-" 0 0 0 0 0
"scaffold_1_2569846_2570037_-" 0 0 0 0 0
"scaffold_1_2570069_2570253_-" 0 0 0 0 0
"scaffold_1_2608394_2608429_-" 0 0 0 0 0
"scaffold_1_2610765_2610900_-" 0 0 0 0 0
"scaffold_1_2611149_2611195_-" 0 0 0 0 0
"scaffold_1_2615803_2615921_-" 0 0 0 0 0
"scaffold_1_2616237_2616377_-" 0 0 0 0 0
"scaffold_1_2619186_2619355_-" 0 0 0 0 0
"scaffold_1_2622951_2623051_-" 0 0 0 0 0
"scaffold_1_2632372_2632474_-" -1 1 1 -1 0
"scaffold_1_2635942_2636165_-" 0 0 0 0 0
"scaffold_1_2644472_2644644_-" 0 0 0 0 0
"scaffold_1_2651794_2652088_-" 0 0 0 0 0
"scaffold_1_2652197_2652292_-" 0 0 0 0 0
"scaffold_1_2652397_2652541_-" 0 0 0 0 0
"scaffold_1_2652712_2652792_-" 0 0 0 0 0
"scaffold_1_2665601_2665623_-" 0 0 0 0 0
"scaffold_1_2785997_2786167_-" 0 0 0 0 0
"scaffold_1_2790919_2791095_-" 0 0 0 0 0
"scaffold_1_2794942_2794981_-" 0 0 0 0 0
"scaffold_1_2795372_2795524_-" 0 0 0 0 0
"scaffold_1_2876309_2876403_-" 0 0 0 0 0
"scaffold_1_2879644_2879844_-" 0 0 0 0 0
"scaffold_1_2923071_2923200_-" 1 -1 0 1 0
"scaffold_1_2923251_2923294_-" -1 0 0 0 0
"scaffold_1_2935599_2935664_-" 0 0 0 0 0
"scaffold_1_3004076_3004144_-" 0 0 0 0 0
"scaffold_1_3013743_3013822_-" 1 0 0 1 0
"scaffold_1_3040178_3040282_-" 0 0 0 0 0
"scaffold_1_3040349_3040513_-" 0 0 0 0 0
"scaffold_1_3079906_3079993_-" 0 -1 0 1 0
"scaffold_1_3097580_3097716_-" 1 0 -1 1 0
"scaffold_1_3100577_3100627_-" 0 1 -1 0 0
"scaffold_1_3110987_3111135_-" 0 0 0 0 0
"scaffold_1_3115149_3115366_-" 0 0 0 0 0
"scaffold_1_3121478_3121524_-" 0 0 0 0 0
"scaffold_1_3208311_3208367_-" 0 0 0 0 0
"scaffold_1_3213150_3213517_-" 0 0 0 0 0
"scaffold_1_3242149_3242268_-" 0 0 0 0 0
"scaffold_1_3244198_3244375_-" 0 0 0 0 0
"scaffold_1_3248318_3248376_-" 0 0 0 0 0
"scaffold_1_3252176_3252225_-" 0 0 0 0 0
"scaffold_1_3271576_3271748_-" 0 0 0 0 0
"scaffold_1_3275354_3275495_-" 0 0 0 0 0
"scaffold_1_3298973_3299053_-" -1 0 1 -1 0
"scaffold_1_3336910_3337032_-" -1 0 1 0 1
"scaffold_1_3368273_3368338_-" 0 -1 1 0 1
"scaffold_1_3562402_3562448_-" 0 0 0 0 0
"scaffold_1_3752515_3752801_-" 0 0 0 0 0
"scaffold_1_3765573_3765664_-" 1 -1 0 1 0
"scaffold_1_3850580_3850612_-" -1 0 1 0 0
"scaffold_1_3861539_3861632_-" 0 0 0 0 0
"scaffold_1_3863681_3863821_-" 0 0 0 0 0
"scaffold_1_3877379_3877513_-" -1 0 0 0 0
"scaffold_1_3897479_3897584_-" 0 0 0 0 0
"scaffold_1_3899132_3899281_-" 0 0 0 0 0
"scaffold_1_3914415_3914485_-" 0 0 0 0 0
"scaffold_1_3922387_3922565_-" 0 0 0 0 0
"scaffold_1_3959274_3959424_-" 0 0 0 0 0
"scaffold_1_3969902_3970105_-" 0 0 0 0 0
"scaffold_1_3970500_3970629_-" 0 0 0 0 0
"scaffold_1_3977622_3977757_-" 0 0 0 0 0
"scaffold_1_3980244_3980371_-" -1 0 0 -1 0
"scaffold_1_4048737_4048823_-" 1 0 0 0 0
"scaffold_1_4117567_4117617_-" 0 0 1 0 0
"scaffold_1_4131009_4131141_-" 0 0 0 0 0
"scaffold_1_4149519_4149777_-" -1 0 1 0 1
"scaffold_1_4155517_4155732_-" -1 1 0 -1 0
"scaffold_1_4157513_4157600_-" 0 0 0 0 0
"scaffold_1_4160578_4160645_-" 0 0 0 0 0
"scaffold_1_4163457_4163573_-" 0 0 0 0 0
"scaffold_1_4187130_4187333_-" 0 0 0 0 0
"scaffold_1_4189594_4189733_-" -1 0 0 -1 0
"scaffold_1_4192264_4192516_-" 0 0 0 0 0
