"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_2_866710_866722_+" 2.12717099457142 1.42663828696263 12.2894198677752 2.76335081539054e-09 1.05820167427621e-08 11.5235997461702
"scaffold_101_334292_334842_-" 2.210959343674 2.14146570355466 12.2842135417836 2.77961973501703e-09 1.06433764595093e-08 11.5117411307406
"scaffold_14_121790_121882_-" 3.86344847100524 3.93780799898106 12.2819304719868 2.78678594554065e-09 1.06698734426029e-08 11.3441392596639
"scaffold_53_740325_740462_+" 2.15814897029869 1.80030046101373 12.2809434828886 2.78989001475721e-09 1.06808142422348e-08 11.5110356602356
"scaffold_3_3078108_3078299_+" 2.29637578617656 2.38025663533842 12.2787853560444 2.7966900716847e-09 1.07059015767637e-08 11.4915028412519
"scaffold_18_588228_588295_-" 2.20217162479537 2.64440367506275 12.2735420955565 2.81328438559384e-09 1.07684741841363e-08 11.4956235255047
"scaffold_107_185671_186464_+" 2.24202110242582 2.05899759359623 12.2697357501957 2.82539638785595e-09 1.0813880203202e-08 11.4894209837723
"scaffold_4_1102384_1102610_+" 2.05833353559693 2.04339092595259 12.2667290709586 2.83500287389435e-09 1.08496894721621e-08 11.5046316738719
"scaffold_144_202572_202786_-" 2.13089105916579 1.8069334231791 12.2658659978549 2.83776682436927e-09 1.08593080226659e-08 11.4994307356091
"scaffold_11_1207680_1207935_-" 2.81598448524707 2.62623700575423 12.2647792221086 2.84125123463856e-09 1.08716816207675e-08 11.4239405067327
"scaffold_6_2014046_2015042_-" 2.3878534092049 2.12203610870057 12.2646850072132 2.84155351906849e-09 1.08718781143731e-08 11.4695467177076
"scaffold_83_231913_232287_+" 2.19789072619438 2.19994670684686 12.264217287311 2.84305468289914e-09 1.08766611206436e-08 11.4906569476823
"scaffold_191_46275_47410_+" 2.04724829877787 1.94290468224674 12.2634714909879 2.84545008183117e-09 1.08848640513347e-08 11.5034527182105
"scaffold_42_722097_722643_-" 2.26965261162128 1.61907723203959 12.2621718302259 2.84962953289377e-09 1.08998895684785e-08 11.4745647380859
"scaffold_142_239652_240211_+" 2.07486474753744 1.83494853691069 12.258360300302 2.8619242183998e-09 1.09459506255641e-08 11.4950873520917
"scaffold_193_52131_52442_-" 2.11110304065085 -0.158349111663707 12.2558118563737 2.87017597396758e-09 1.09765419938317e-08 11.4875041534653
"scaffold_13_1413238_1414327_+" 2.34931533747965 2.27745432040885 12.2553779086063 2.87158358937144e-09 1.09809559217217e-08 11.4622065665513
"scaffold_4_613576_613670_+" 2.68382911229044 1.06632346119106 12.2535215896496 2.87761327662341e-09 1.10030423460406e-08 11.4242763219218
"scaffold_35_340025_340654_+" 2.98182466283523 3.56057891622871 12.2530630296945 2.87910483486495e-09 1.10077740977196e-08 11.3918775075551
"scaffold_31_322205_322490_+" 2.10713918568244 1.98794914793777 12.2526013928496 2.88060722895703e-09 1.10125464397593e-08 11.4826005232631
"scaffold_10_1180286_1180460_-" 2.38168345503864 1.9599031688929 12.2437460435075 2.90958831801763e-09 1.11223595788276e-08 11.4471789089169
"scaffold_2_3392260_3392333_+" 2.25352770002651 2.52256334724121 12.2409583139154 2.91877560470025e-09 1.11564950903611e-08 11.4571060326321
"scaffold_299_80937_81717_+" 2.20976715995551 1.43202190534499 12.2397279645769 2.92284013792951e-09 1.11710455024642e-08 11.460058124207
"scaffold_4423_1394_1524_-" 2.15775476600847 1.68467590844171 12.2388737549766 2.92566559861652e-09 1.11808580511299e-08 11.4602872004944
"scaffold_8_1578630_1579404_-" 2.22424479449491 2.16031877586845 12.2375649462483 2.93000034903523e-09 1.11964363311255e-08 11.4567416005096
"scaffold_213_109417_109433_-" 2.25005420509558 2.47896770218786 12.2354805092505 2.93691802404995e-09 1.12218811456026e-08 11.4450114100306
"scaffold_4_2339214_2339256_-" 2.1917271406724 2.61417150944238 12.2346195522086 2.93978035369835e-09 1.12318274783364e-08 11.4529290965241
"scaffold_24_662627_663218_+" 1.99325429597551 2.53975910055125 12.231862121829 2.9489675949864e-09 1.12659351045217e-08 11.4713020145233
"scaffold_72_297631_297744_-" 2.21933917591538 1.84447369767239 12.2267163902122 2.96619367892634e-09 1.13307447833859e-08 11.4415604811984
"scaffold_36_1100687_1100714_-" 2.06166034015602 2.42617288269564 12.2253780486327 2.97069142437564e-09 1.13469255622409e-08 11.4585279679183
"scaffold_56_464492_464757_+" 2.24511053418547 1.92739068830715 12.2249884649954 2.97200205033235e-09 1.13502804524272e-08 11.4374312256589
"scaffold_163_126980_127509_-" 2.21372302140956 0.858618855600284 12.2249612283443 2.9720937019985e-09 1.13502804524272e-08 11.4388835234597
"scaffold_46_508452_508635_-" 2.06491199557425 1.50924898102067 12.218286742487 2.99464398831719e-09 1.14353909252451e-08 11.4467247329163
"scaffold_64_133028_133597_+" 2.28609574247221 0.449787016696509 12.2153332476886 3.00468041343554e-09 1.14727049962552e-08 11.4202898539429
"scaffold_30_468014_468318_+" 2.22869803609026 2.25005314301425 12.2144006438811 3.00785694346699e-09 1.14838218128878e-08 11.4247509805398
"scaffold_2_442771_443291_+" 2.05875916786447 2.54285934905002 12.2135086858227 3.01089836030897e-09 1.14944208616395e-08 11.4439303909663
"scaffold_53_380606_381264_+" 2.04166848466016 1.32412428212848 12.20901435076 3.02627289844404e-09 1.15520968808799e-08 11.4410551459937
"scaffold_4_1923303_1924725_+" 2.19435056393638 2.49383036851478 12.2079815698595 3.0298176505592e-09 1.15646092439545e-08 11.423550169932
"scaffold_56_215810_215942_-" 2.22807420088496 1.50421560279081 12.2076620816049 3.03091510191306e-09 1.15677790438236e-08 11.4169453142064
"scaffold_35_503293_503386_+" 2.07115227650426 2.31656553383565 12.2063886715103 3.03529348982337e-09 1.15834691922917e-08 11.4329836446012
"scaffold_3_1279948_1280560_-" 2.27816776999121 2.67031105385895 12.2054638964486 3.0384773610318e-09 1.15945983921141e-08 11.40865610745
"scaffold_91_349720_349795_+" 3.54727115366567 3.93817696553345 12.2036745677314 3.04464782305219e-09 1.1617121231313e-08 11.2810366420716
"scaffold_28_173628_173957_+" 2.23340222692905 2.01515795374097 12.2035525966668 3.04506892085102e-09 1.16177048313483e-08 11.4111053377715
"scaffold_21_1435123_1435384_-" 2.19119866026232 2.18399828496582 12.2033565386978 3.04574592860004e-09 1.16192646035507e-08 11.4203055644558
"scaffold_11_2168435_2169416_-" 2.17805358060786 1.72539776222859 12.2031270371355 3.04653862307019e-09 1.16212653973533e-08 11.4186866647968
"scaffold_39_608179_608464_+" 2.11039253065525 2.74986468518459 12.2025627472067 3.04848860065056e-09 1.16276799992769e-08 11.426367026977
"scaffold_19_291406_291475_+" 2.38531562978645 0.602385723400096 12.2021618468853 3.04987476772852e-09 1.16319431502294e-08 11.3912658010379
"scaffold_13_504527_505053_-" 2.13674354605001 1.67668673093627 12.196891264338 3.0681607654893e-09 1.17006542844458e-08 11.4173618772519
"scaffold_75_304245_304356_-" 3.00910575826718 3.60470516944209 12.1960729406436 3.07101029903795e-09 1.17104904256397e-08 11.3261150164138
"scaffold_91_120921_121011_+" 3.34849425796569 3.64081468845326 12.1898213953552 3.09287194744569e-09 1.17928161572676e-08 11.2841654467212
"scaffold_70_123020_123321_+" 2.37275240660127 2.69888674621181 12.1893709494519 3.09445351323604e-09 1.1797808246609e-08 11.3807056793289
"scaffold_10_1432184_1432888_-" 2.29752755672495 2.44937836705972 12.1892557270605 3.09485820954000e-09 1.17983129596595e-08 11.3923994155741
