"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_1_601661_601837_+" 2.32322878848342 2.20234124512078 12.2287526831966 2.95936417644723e-09 1.18369102943826e-08 11.4916016411326
"scaffold_11_1278882_1278931_+" 2.36774163399079 2.62697175088374 12.2265405100927 2.9667843446212e-09 1.18654941858265e-08 11.4779481029827
"scaffold_70_43749_43984_-" 3.21238419957981 2.83784044142439 12.2252448729907 2.97113938108444e-09 1.18818151029042e-08 11.3971885150709
"scaffold_11_1747749_1748110_+" 2.20762707283661 2.83906192919281 12.22450880923 2.97361653606928e-09 1.18906239078669e-08 11.494815276245
"scaffold_61_297548_297609_+" 2.82382228249179 1.93080130649782 12.2236605338945 2.97647404376306e-09 1.19009518660095e-08 11.4364510174099
"scaffold_8_340016_340711_+" 2.27794377693933 2.48381028510142 12.2234970578136 2.97702506508468e-09 1.19020566549653e-08 11.4885625164181
"scaffold_136_284071_284550_+" 2.54394444839501 2.41632830036846 12.2232958444267 2.97770343423443e-09 1.19036703258572e-08 11.4593875406457
"scaffold_13_1536282_1536365_-" 3.32188380281115 3.95737645947407 12.2222472713906 2.98124123695576e-09 1.19167135189912e-08 11.3820786181334
"scaffold_10_1390296_1390553_-" 2.46970120637607 2.67393321144382 12.2213074180785 2.98441601365064e-09 1.19283033401686e-08 11.4676654967144
"scaffold_36_468248_468909_-" 2.29238649670223 2.01044979788162 12.2202146777983 2.98811173995534e-09 1.19419729956005e-08 11.4783030667173
"scaffold_5_1888448_1888481_-" 2.26509572998809 2.15774552581279 12.2201018928673 2.98849346274974e-09 1.19423969532462e-08 11.4818193265153
"scaffold_29_94517_94595_+" 2.39021446566122 3.1849784904424 12.2166070262839 3.0003475550136e-09 1.19886616405533e-08 11.4657482671702
"scaffold_32_311625_311849_-" 2.48876515608931 2.2375673247561 12.2141657996871 3.00865740410759e-09 1.20207571643642e-08 11.4546064378759
"scaffold_85_332853_333487_+" 2.35520036170185 2.68347484602722 12.2137105566956 3.01020973164978e-09 1.20258503304249e-08 11.4696770554257
"scaffold_12_205769_205963_-" 2.86052139767553 3.08570817795618 12.2126056601782 3.01398083590603e-09 1.20398057990471e-08 11.4189837164682
"scaffold_22_981336_981364_+" 2.5067701159311 2.08940699587352 12.2079343009821 3.02997999396711e-09 1.21026010158218e-08 11.4437508143278
